user_index,tsne_1,tsne_2,cluster
120504,21.68159,80.96015,4
110814,0.26091886,28.57792,1
260937,-86.79655,-47.621475,2
152956,6.5399795,51.615322,1
66672,66.4843,-46.53658,1
65029,71.44842,2.4793942,3
41266,46.39964,41.207134,1
204865,-37.01253,-56.136734,2
302110,-6.152638,-120.57313,2
265450,22.568476,92.78958,4
62106,34.58979,67.060455,3
45279,60.12131,-24.455355,1
297871,-19.80647,107.15321,2
198819,-51.980515,16.435183,2
40782,107.31496,-4.3208957,3
178307,-13.5338335,-0.4747922,2
155792,0.4148088,-2.1971192,1
70001,6.7149396,15.388906,1
47183,81.07097,5.7630296,3
243529,-45.27219,-43.465473,2
248664,-77.53443,6.9887233,2
41560,108.05617,35.954258,3
235794,-37.832394,54.90988,2
44343,103.81488,24.142334,3
109110,50.489952,-12.663482,1
254566,-36.5071,73.63487,2
177874,-14.521565,25.337086,2
169321,-1.028206,19.15199,1
227471,-74.897865,0.48860407,2
28137,104.965996,31.743668,3
200211,-23.878143,-2.1954362,2
119982,82.06678,-39.897602,1
33823,85.97803,23.879026,3
193054,-11.151668,-81.03424,1
85923,19.100744,0.43752038,1
221397,-29.988056,73.82328,2
136984,11.053177,70.9928,1
264054,-68.47499,76.064865,2
66392,40.3724,-6.5229645,1
286477,-111.44105,23.340576,2
21937,40.9337,33.228825,3
166935,-16.526953,-14.672079,1
171073,-27.726229,-48.338722,2
280471,-110.21713,-34.448845,2
184974,-28.513103,-38.14344,2
308266,-135.61047,-31.077633,2
164428,19.821358,-25.612959,1
267083,-86.47532,45.164154,2
173442,12.424185,-96.330345,1
66725,92.529274,-20.04129,3
64275,55.806675,57.889343,3
225994,-25.214499,-82.13067,2
89981,52.31068,-10.359909,1
98921,52.659084,-10.798845,1
295035,-37.206425,-94.35156,2
120669,-4.74074,-23.046223,1
118397,52.60203,-53.971992,1
188608,-0.040857323,-53.128723,1
278277,-35.61792,-92.87787,2
35488,71.61102,16.299547,3
155587,3.1212358,-51.378635,1
311406,-112.53632,76.53109,2
262438,-97.99228,12.002839,2
37360,50.85517,11.896446,1
83235,36.923172,-26.606955,1
178650,-25.296518,-66.005,1
120149,18.925968,-49.36039,1
37659,102.63773,4.4560585,3
54322,28.335964,-4.9511275,1
126142,-30.98248,11.175771,2
289575,-114.2843,-10.92966,2
77583,51.090267,-25.13569,1
217633,-52.66939,-12.319975,2
236523,-81.85604,5.139959,2
178848,-36.368294,7.7052407,2
223002,-39.381958,-74.67999,2
226063,-80.757706,18.048182,2
45355,96.57291,2.4919212,3
121464,-2.3205478,-6.3767123,1
261849,-95.04432,35.70031,2
275039,-11.236256,96.24529,2
242618,-14.38316,61.65531,2
203497,-45.49833,-22.780872,2
120673,-8.453381,-5.9105635,1
222501,-8.9956875,47.315006,2
293859,-60.772705,102.70786,2
282516,-122.95694,-45.990673,2
241393,-22.109982,59.46838,2
118822,25.957148,-76.184875,1
242667,-90.549576,-3.2432435,2
245871,-65.71427,51.024647,2
99334,46.495644,-7.7379932,1
